Tweet,Country,Topic,Sentiment,Sentiment_Expression,Sentiment_Target
عاد قصر #بعبدا معك فخامة الرئيس يلعب دور الحاضن والجامع لكل اللبنانيين،الرئاسة مش كرسي،الرئاسة فخامة،ميشال عون بي الكل الله يحفظك ويحميك...🙏,syria,politics,positive,explicit,،الرئاسة فخامة
@mm_alm6 هههههه لا وعيونك ..... مو كلهم .... في انتحاريات وقناصات واذا مو مصدقه تعالي شوفي البلاوي بالعراق في فرق… https://t.co/w4DAOFJHOF,syria,politics,negative,explicit,انتحاريات وقناصات
معركة ممتدة من لبنان الى سوريا وربما الى ما بعد بعد سوريا وعندما تدق الساعة ونلبي النداء فلقد وعدناه ب ١٠٠٠ صاروخ ك… https://t.co/DRBkwHWIsa,lebanon,politics,negative,explicit,متدة من لبنان الى سوريا
دول العالم تحذر رؤساءها من السفر الى السعوديه لوجود حالات اختطاف الحمد لله ما اسروا حيدر العبادي ههههه #الحرية_لسعد_الحريري,jordan,politics,negative,implicit,الحريري
@abas07751297 @meitham12346 القربى/بشكل عام/لكنكم قتلتم كل القربى وابعدتموهم واغتصبتم حقهم بعدوفاةالرسول. مباشرة. ليت… https://t.co/nhdduyyTzY,syria,religions,negative,explicit,لكنكم قتلتم كل القربى وابعدتموهم
السبهان يخرج على محطة الآل بي سي اللبنانية وينفي الضغط على #الحريري للاستقالة لكنه يهاجم دور #ايران وحزب الله الذي وصفه بالشيطاني والداعشي,lebanon,politics,negative,explicit,بالشيطاني والداعشي
كما هطلت الأمطار على محافظة #تيماء. وعلى الشرف وعلقان بمحافظة #حقل أرتوت على أثرها الأرض جعلها الله سقيا خير ورحمة وعمّ بنفعها أرجاء البلاد.,palestine,weather,positive,explicit,هطلت الأمطار على محافظة #تيماء
@FalastineShiraz بشارات السّماء لا تتوقف ، تهوي إلى قلب كُل يائس لتُخبره أن من خلق السماء في سِتة أيام قادر على إسع… https://t.co/8CuXUpsGP7,syria,personal,positive,explicit,بشارات السّماء لا تتوقف
@guerba_lamia اللهم أنت ربي لا إله إلا أنت، خلقتني وأنا عبدك، وأنا على عهدك ووعدك ما استطعت، أعوذ بك من شر ما صنعت،… https://t.co/cE9PgUuOnO,palestine,religions,positive,explicit,"['اللهم أنت ربي لا إله إلا أنت، خلقتني وأنا عبدك، وأنا على عهدك ووعدك ما استطعت، أعوذ بك من شر ما صنعت، أبوء لك بنعمتك علي، وأبوء بذنبي فاغفر لي فإنه لا يغفر الذنوب إلا أنت', 'اللهم أنت ربي لا إله إلا أنت، خلقتني وأنا عبدك، وأنا على عهدك ووعدك ما استطعت', 'اللهم أنت ربي لا إله إلا أنت، خلقتني وأنا عبدك، وأنا على عهدك ووعدك ما استطعت، أعوذ بك من شر ما صنعت', 'اللهم أنت ربي لا إله إلا أنت']"
#الهلال_اوراوا_الياباني. بالتوفيق للهلال انا اتحادي ومع ممثل الوطن في النهائي الاسيوي يارب وفق الزعيم ❤️ ننهيها فالذهاب افضل بكثير من الاياب,palestine,sports,positive,explicit,انا اتحادي ومع ممثل الوطن
امشي لحالي .. ما تبعت اﻷسامي. املك الفكر ، يوم البشر تملك عقول. ماني بحاجة شخص يسمع كلامي. أنا بحاجة شخص يفهـم وش اقول,palestine,personal,negative,explicit,أنا بحاجة شخص يفهـم
الاصم هو من لايسمع طبول الحرب في المنطقة، حرب بالوكالة بين #ايران و #السعودية قادمة لامحالة، ساحتها #اليمن و #لبنان… https://t.co/b9a9uS4o7A,syria,politics,negative,explicit,حرب بالوكالة
ليس غريبا ان تسمع من كبار رجال أعمال لبنان كلاما خطيرا عن قلق وخوف. المطلوب حالة طوارئ اقتصادية وخلوات وزارية لبت خطة عمل ورؤية وتصور علمي.,lebanon,politics,negative,explicit,حالة طوارئ اقتصادية
نفس النتائج التي وصل لها #العراق سيصل لها #لبنان إذا قبل #عون. القيام بدور قائم مقام خاميني. في العراق نور المالكي .,palestine,politics,negative,explicit,لبنان
"شخص متخلف يجي يكولي خدام مجوس لايران وكفار تدخلون المسيح لكربلاء خلي يلغي المتابعة احنه شيعة العراق منخدم احد على جنسيته و مذهبه او دينه313""",jordan,politics,negative,explicit,لي خدام مجوس لايران
@abas07751297 @meitham12346 ماقولك لعمرباتهام الرسول-بالهجر/وقول ابوبكر-من كان يعبدمحمدفان محمدقدمات. فهل كان هناك م… https://t.co/fZzA8OX5gB,syria,religions,negative,explicit,ابوبكر
بعد نجاحه في احراز اللقب الأسيوي للمرة الثانية تواليا . هل سيكون القوة الجوية قادرا على احراز كأس المثابرة ؟ ام سيكو… https://t.co/LgfBitHYOr,syria,sports,positive,implicit,القوة الجوية
@BassamAbouZeid صح بس ما تعتبرو تدخل هذه الدولة عبر فريق لبناني يؤدي دوره كما يجب متل غيرو يختلف عن تدخل الدولة الأ… https://t.co/j0QeQoojCh,syria,politics,negative,explicit,فريق لبناني
اياك أن تحب شخصا ليس لك مكان في حياته فهو يكذب عليك وأنت تعلم ولكنك تدعي أنك تصدقه لانك تحبه فأنت تضيّع وقتك احمل ما تبقى من كرامتك وارحل,jordan,personal,negative,explicit,"['اياك أن تحب شخصا ليس لك مكان في حياته فهو يكذب عليك وأنت تعلم ولكنك تدعي أنك تصدقه لانك تحبه فأنت تضيّع وقتك احمل ما تبقى من كرامتك وارحل', 'تضيّع وقتك احمل ما تبقى من كرامتك وارحل', 'يكذب', 'اياك أن تحب شخصا ليس لك مكان في حياته']"
بسم المتغربين والاطفل والنساء الكبار نطالب م الرئيس بشار الاسد ان لايدخل احد الى البوكمال وقراهافقط الجيش العربي السوري لانا نثق فقط بجيشنا.,syria,politics,positive,explicit,لانا نثق فقط بجيشنا
بكفي انو عملتو شي الاجتماعات و المؤتمرات و الدول ما قدرت تعملوا . أنتو يلي وحدتو شعب على صوت واحد واسم واحد سوريا ❤. #شكراً_نسور_قاسيون,lebanon,sports,positive,explicit,سوريا
فلتسجد الارض خشوعا ولتذرف السماء دموعا ولتنحني الجبال ركوعا ولتهتف الناس جميعا 🏴لبيك يا حسين قد اقبلت زيارة الءربعي… https://t.co/5QQnFcllob,jordan,religions,positive,explicit,لبيك يا حسين
@tadabbor. تكرر في #سورة_الإسراء ذكر:. -القرآن. -الإنسان. -الآخرة. القرآن فيه تعريف وتذكير بالآخرة التي هي هدف كل إنسان… https://t.co/VJFWqheGfZ,syria,religions,positive,explicit,"['تكرر في #سورة_الإسراء ذكر:\n-القرآن\n-الإنسان\n-الآخرة\nالقرآن فيه تعريف وتذكير بالآخرة التي هي هدف كل إنسان كرّمه الله والقرآن هو منهج حياة للعبد الذي يريد الآخرة ويسعى لها سعيها وهو مؤمن فمن أحسن السعي للهدف وفق منهج القرآن ارتقى في منازل الآخرة', 'تكرر في #سورة_الإسراء ذكر: -القرآن -الإنسان -الآخرة القرآن فيه تعريف وتذكير بالآخرة التي هي هدف كل إنسان', 'وتذكير بالآخرة التي هي هدف كل إنسان', 'الآخرة القرآن فيه تعريف وتذكير بالآخرة التي هي هدف كل إنسان']"
375. ميكس ال meme والدراما السوريه وأغاني الدمار😂. مع انه ابو عبير بحكي ما بهمه حدا بس انتي بهمك كل حدا حوليكي . جد… https://t.co/dACjoOGiWV,lebanon,personal,negative,explicit,والدراما السوريه
يا الله ارزقني حُبك، وأرزقني عونك ورضاك، اللهم لُطفك، اللهم الحاجه كُل الحاجه إليك، اللهم هُداك وذكرك وتيسيراً لا ي… https://t.co/RuPjChOwtq,syria,personal,positive,explicit,يا الله ارزقني حُبك
بتقعد ٥ ساعات تحكيك ع التلفون وآخر شي بتقلك يلّا ما بدّي طول عليك😂. الله يسامحك فيقتيني، غفيت من بعد ال الو انا😂😂😂,lebanon,personal,negative,explicit,تحكيك ع التلفون
@Syrian_7 الي رح يحصل والحاصل بالوطن العربي هو لعنة ماحصل لسورية ونتمنا م حكاموامراء العرب ان يتلافو ماتبقى من ماء الوجه #اصبحنا-مسخرةالعالم,syria,politics,negative,explicit,الوطن العربي
كلّن بيعملوا شيير لنفس الفيديو الإنساني،مع تعليقات متل حرام،يا لطيف. هني ذاتهم يلي بيقرفوا من الخادمة الاجنبية وبيعتبروها غرض من أغراض البيت,lebanon,personal,negative,explicit,بيقرفوا من الخادمة الاجنبية
"صباح الخير . والله كنت طفشانة ومتأزمة من الدوام الى ما دكتورتنا ""الاردنية"" جات تحضّرتنا ؛ نادت على اسم وحدة: حنان مِ… https://t.co/Xtj4b75nHL",palestine,personal,negative,explicit,كنت طفشانة ومتأزمة من الدوام
ونك مسعود شو تشريب المركة مالتك شودو من شافو مكافحة الارهاب دخلو للقدس مالتكم وعفت نعالك وسروالك وسلاحك بذرة البأس ولبست علاء نساإية وطفرت,syria,politics,negative,explicit,دخلو للقدس
الي دا تكتب ع الصراحه حبيبي اني اصلي من الموصل!!!! شيعة وعشايرنا بعدها هناك قبيلة طي بس اهلها نواصب وبيبيتي شالت لبغداد الله يرحمها,syria,personal,negative,explicit,شيعة وعشايرنا بعدها هناك قبيلة
@orgowan2 لأ حرام عليكي لا تحكي هيك! ما بستاهل تعمل فيه هيك و الله وجعني قلبي عليه و قسوته و بروده جذابين كتييير! أ… https://t.co/bSdUSUohff,lebanon,personal,negative,explicit,وجعني قلبي
@posteriraq اين الدليل وإن كان كما يدعون ماهي نسبة التشيع في كركوك لقد يئمنا هذه المهاترات التي ادت الى دمار البلد,jordan,politics,negative,explicit,ادت الى دمار البلد
اللهم اني اسالك الخير كله عاجله واجله ماعلمت منه وما لم اعلم واعوذ بك من الشر كله عاجله واجله ماعلمت منه ومالم اعلم ...,palestine,religions,positive,explicit,اللهم اني اسالك الخير
"الوزير محمد كبارة عبر قناة ""الحدث"": مباركة هي إستقالة الرئيس سعد #الحريري من رئاسة الحكومة وهذا الموقف سيعيد الأمور إلى نصابها #لبنان",lebanon,politics,positive,explicit,مباركة هي إستقالة الرئيس سعد
@dwidar9 هلاا توني اشوف هالتغريدة والله . قبلت التحدي..لكن قول الحقيقة قبل لا أبحث ..المسلسل موجود؟ ولا اخترعته من راسك؟,palestine,entertainment,negative,explicit,ولا اخترعته من راسك؟
ليس غريبا ان تسمع من كبار رجال أعمال لبنان كلاما خطيرا عن قلق وخوف. المطلوب حالة طوارئ اقتصادية وخلوات وزارية لبت خطة عمل ورؤية وتصور علمي.,lebanon,politics,negative,explicit,رجال أعمال لبنان
#شعوري_بتغريده ليت لنا ذاكرة كأوراق الخريف ..ان عبثت فيها رياح الشوق أسقطتها .. وإن اشتد بها الحنين حملتها إلى بعيد… https://t.co/NwoDunU56I,jordan,personal,negative,explicit,ليت لنا ذاكرة كأوراق الخريف
@alboiji هناك دول ليس بها دين ابدا ومستقره ويوجد بها عداله اجتماعيه وهذا لايعني اني مع هذه الانظمه من الحكم ولكن كلمة حق انطق بها,palestine,politics,positive,explicit,كلمة حق
#كلام_الناس في ظل هذا الانقسام الحاد والعامودي الذي يشهده المجتمع اللبناني حول سلاح حزب الله والذي بدا واضحا وضوح ا… https://t.co/KuePgdKvZf,lebanon,politics,negative,explicit,الانقسام
الواجب علينا الآن الدعاء بأن يحفظ الله سلمان الحزم ومحمد العزم من كيد الكائدين فهم الآن عون للبلاد والعباد 🇸🇦دام عز… https://t.co/I7mCvPr43N,jordan,politics,positive,explicit,الحزم ومحمد العزم
@NdGvae كل هذا لا يقدم اي شرعية للأوثان وللغزو البدوي البربري وتدمير حضارات الجوار لاتنسى امريكا والسعودية وايران و… https://t.co/gxq7clTFZC,lebanon,politics,negative,explicit,للغزو البدوي البربري
من الطبيعي أن ترى السفينة في الماء لكن من الخطر أن ترى الماء في السفينة فكن أنت في قلب الدنيا ولا تجعل الدنيا في قلبك .,palestine,personal,positive,explicit,لا تجعل الدنيا ف
@BassamJaara يعني حنا كلنا ضد المجرم بشار بس مع منتخب سوريا . انت ليه مبسوط بالخسارة يا رجل افصل بين الرياضة والسياسة,lebanon,sports,negative,explicit,ليه مبسوط بالخسارة
@iP_NAJi @aali24_ محاربة رياضة وطن .... تشكيك في الذمم .... دعوة للتعصب و نشر الفتن .... بعض الجماهير المراهقة في ال… https://t.co/8eSnuGeS1a,palestine,sports,negative,explicit,محاربة رياضة وطن
لخالد على اخشى عليك من السقوط ...فى انتخابات 2012 كان السباق بين 13 وخالد على كان منهم ونال اقل الاصوات وانا كنت واحد من هولاء القلائل,syria,politics,negative,explicit,اخشى عليك من السقوط
بكل العالم الفريق كامل بصفحه و مهاجم الفريق بصفحه يعني اذا المهاجم مو زين مجهود فريق كامل يضيع و ريال مدريد بعضمته مهاجمه الأسوء بنزيما !!,jordan,sports,negative,explicit,ريال مدريد
كل ما يحدث لنا في الحياة .. لا يحدث صدفة ولا عبثاً ولا بلا سبب .. بل يحدث لحكمة ما .. إما أن يكون تنبيه او إيقاظ من غفلة او درس نتعلم منه,jordan,personal,positive,explicit,حدث لنا في الحياة
اللهمّ إرحم من فقدته العين ، فقده المكان ، افتقده القلب كثيراً ، اللهمّ إرحم من فقده يُؤلم ، وفراقه لا يُطاق 💔,lebanon,personal,negative,explicit,اللهمّ إرحم من فقده يُؤلم
هل تعلم أن يزن السيد كان لاعب كرة قدم. في أندية محلية عدة نذكر منها: النضال، الجيش، المجد، والشرطة وقد تميز يزن بأنه… https://t.co/fN7dkwXNo7,lebanon,sports,positive,explicit,"['يزن السيد', 'لاعب كرة قدم', 'ة وقد تميز يزن بأنه', 'هداف من الطراز الأول']"
@Reem_sr4 وأنا اللي قلت لقطة سيميوني وهوا خارج المنطقة ما حدا شافها غيري مع انو قريب من الحكم الرابع وحكم الراية 😂😂… https://t.co/DdFTRPbhin,palestine,sports,positive,explicit,طة سيميوني وهوا خارج المنطقة
الحالة الجوية #بشرى تشتد هذه الليلة على منطقة #المدينة و#ينبع إلى شمال القصيم. وصباح الغد على منطقة #مكة و#جدة . يجب الإنتباه والحذر.,palestine,weather,negative,explicit,"['بشرى', 'الانتباه', 'رى تشتد هذه الليلة على منطقة #المدينة و#ينبع إلى شمال القصيم', 'طقس', 'الحالة الجوية']"
حلو كتير وطبيعي ضروري يكون جدٌي على طول عم بمارس حياتو كإنسان عادي بيختلط بالناس وبيتقرب منن وين المشكلة هوي شاب مرح بطبعو #هلا_بالخميس,lebanon,personal,positive,explicit,"['جدٌي', 'هلا_بالخميس', 'يكون جدٌي على طول عم بمارس حياتو كإنسان عادي', 'جدٌي على طول عم بمارس حياتو كإنسان عادي']"
كل الشكر والتقدير لكم انتم يا جمهور بلال على دعمكم المتواصل وعلى تصويتكم له في السفاره وان شاءالله نتعوض خير بالمرا… https://t.co/LR0poxraDI,syria,personal,positive,explicit,يا جمهور بلال
#ايران اليمنيون يعرفون حق المعرفةكيف احتلت مكة من عصابات عبد العزيز 1912 الجيش والحوثيين اليمنين🇾🇪🇾🇪 ليسو بحاجة لأي مساعدة من أحد لإنقاذ🕋✊🏿,syria,politics,negative,explicit,احتلت 
الرئيس عباس في ذكرى رحيل ابو عمار : لن نقبل باستمرار سياسة الابرتهايد وسنطالب بالحقوق المتساوية لسكان فلسطين إذا لم يتم تحقيق حل الدولتين,palestine,politics,positive,explicit,سنطالب بالحقوق المت
بما إنو مافيني حيل أعمل أي نشاط قررت أعطي نفسي أوف بكرة😌.,syria,personal,negative,implicit,مافيني حيل أعمل أي نشاط
سأزرع غيمة في حقلي لتنبت مطر سأزرع صوت ضحكاتك ليزهر فرح سأدعو الشمس إلى حفلة نار في ضوء القمر #هلوسات_مسائية… https://t.co/XneAZzUh3w,lebanon,personal,positive,explicit,سأزرع صوت ضحكاتك ليزهر فرح
خل اروح انام . اليوم هوايه ثرمت . بالعالم ع العموم . تصبحون ع خير . وتشوفوني باحلامكم . يعني ما تخلصون مني https://t.co/qgFA0VSbkj,jordan,personal,positive,explicit,
ياربّ أثق حـد السماء السابعة أن أحلامنا مازالت بيدك اللهم إني حدثتك كثيرًا عن أمنية أنتظر تحقيقهافـ بكرمك يارب بشرني بها❤️❤️.,palestine,personal,positive,explicit,ياربّ أثق حـد السماء السابعة
رسالة الى سماحة السيد #نصرالله . متل ما عم ترفع الظلم عن شعب سوريا والعراق والبحرين واليمن وفلسطين.. اهل بيتك لهم الحق واولى برفع الظلم عنهم.!,lebanon,politics,negative,explicit,رفع الظلم
@Mu_AlSadr اللهم بحق فاطمة وأبيها وبعلها وبنيها والسر المستودع فيها نسألك ان تحفظ العراق واهله وان ينصرك على المفسدين,syria,politics,positive,explicit,نسألك ان تحفظ الع
@s_alfirm تهانينا الغير قلبيه للهلال تعادله اما اوراورا الياباني بطلوع الروح طبعا ... ومش كل عالمي عالمي الشمس صعب… https://t.co/PS9QKthA45,palestine,sports,negative,explicit,مش كل عالمي عالمي الشمس
الأهلي فريق لايصف بمعنى الكلمه والأهلي رعب كرة القدم جنون كرة القدم الأهلي مرعب تركي ال الشيخ الأهلي يضل مجدا وفخر… https://t.co/ERbsVC1UMO,palestine,sports,positive,explicit,الأهلي فريق لايصف بمعنى الكلمه
ناطق أنصار الله: تنديد البيت الأبيض مثالٌ آخر على أن واشنطن تغطي قوى العدوان سياسيا وتمدها عسكريا وتدفع بها نحو مزا… https://t.co/XPOA4VLaVT,syria,politics,negative,explicit,تنديد البيت الأبيض
نأمل من كل من يترشح بالانتخابات اللبنانية المقبلة اذا حصلت ان يقدم سيرة ذاتية مع برنامج عمل ممكن تحقيقه ليس فقط كلام بكلام,lebanon,politics,negative,explicit,الانتخابات اللبنانية
ما حدا بمثلني بقضية لقمة العيش لا النواب يلي عم يفرضوا ضرايب ولا يلي عم يهوبروا كرمال اصوات انتخابية ! كلو عم يستغل… https://t.co/ksLcjzHo41,lebanon,politics,negative,explicit,ولا يلي عم يهوبروا
"راية الخلافة الإسلامية العثمانية... هنا القدس الشريف قبل ""وعد بلفور"" الذي كتب بأي أهل الغرب وتحقق على يد بعض أهل ال… https://t.co/TZtNDOobi1",lebanon,politics,positive,implicit,كتب بأي أهل الغرب
نقول لأصحاب الحسابات الوهمية التي تسئ للمملكة ستصطدمون بصخرة الوعي لدى الشعب السعودي فأمن وطنهم واستقراره خط أحمر خبتم وخابت مساعيكم.,palestine,politics,negative,explicit,الحسابات الوهمية
ستأتي لحظة يجبر الله فيها خاطرك، لحظة يفزّ لها قلبك؛ تشفي كلَ كسوره، يعوضك عمّا كان، فاطمئن؛ لأنَّ عوض الله إذا حل أنساك ماكنت فاقد,jordan,religions,positive,explicit,حظة يجبر الله فيها خاطرك،
الله نطاج وجه⁰ مو مخبز .. ⁰ كل ساعه راگعته كيلوين طحين ... .. يا اغاتي ابو جاسم #احلام بس كافي .. https://t.co/RLRp6tJ27c,syria,personal,negative,explicit,#احلام
في حياتك من يستحق المكان الأول وهناك من يستحق الأخير // ولكن حتما هناك الكثيرين في حياتك من لا يستحق حتى المرور أمام نافذة بيتك //,lebanon,personal,negative,explicit,ولكن حتما هناك الكثيرين ف
انتشرت منذ استقالة الحريري صور مركبة في إطار سيل من النكات التي ما زالت تُنشر منها الصورة المرفقة التي انتشرت بشكل… https://t.co/r5WEDGrLpb,syria,politics,negative,explicit,استقالة الحريري
من ذا الذي يقرض الله قرض حسناً يضاعف له أضعاف اناشد جلالة الملك وأهل الخير في كل مكان ان يسمعوا صوتي ولكم جزيل الشكر مواطن ضاقت به الدنيا,jordan,personal,positive,explicit,ض الله قرض حسناً يضاعف
ان كل كلمة و كل فكرة تعد بمثابة طاقة روحية تقوم بتنشيط قوى الحياة في داخلك ، سواء كانت طبيعية سلبية أو ايجابية… https://t.co/mYm6li4FL5,jordan,personal,positive,explicit,"['كل كلمة و كل فكرة تعد بمثابة طاقة روحية', 'كل كلمة و كل فكرة تعد بمثابة طاقة روحية تقوم بتنشيط قوى الحياة في داخلك', 'ان كل كلمة و كل فكرة تعد بمثابة طاقة روحية', 'ان كل كلمة و كل فكرة تعد بمثابة طاقة روحية تقوم بتنشيط قوى الحياة في داخلك ، سواء كانت طبيعية سلبية أو ايجابية', 'كل فكرة تعد بمثابة طاقة روحية']"
👨: شو اكتر لحظة حلوة متذكريتها ؟. 🙆: لما عزمتني ع شاورما. 👨: يخرب بيتك خليكي رومانسية شوي. 🙆: طيب لما قلتلي يا حبيبتي تفضلي هاي الشاورما تبعك,lebanon,personal,positive,explicit,شو اكتر لحظة حلوة متذكريتها
چا خذتنه وياك صوغه وتدري نقبل. يل عگدناك وي الابهر مادرينه بـ ساع تنفل. ليش من شالتنه عينك طيحتنه. وكون تدري عيونك الهم. ليش بيهن عودتنه ..!!,jordan,personal,negative,explicit,عيونك
@s_alfirm تهانينا الغير قلبيه للهلال تعادله اما اوراورا الياباني بطلوع الروح طبعا ... ومش كل عالمي عالمي الشمس صعب… https://t.co/PS9QKthA45,palestine,sports,negative,explicit,الغير قلبيه
@RealFirdaous كل البلدان العربية و الله يا فردوس ، زرت في الأردن مناطق عظيمة لكن الإهتمام فيها أقل من الصفر !. الله يعين :(,palestine,personal,negative,explicit, الله ي
جعجع: يجب أن نضع يدنا على المشكلة بكل روح إيجابية فنحن ذاهبون إلى الهاوية ويجب التحرك سريعاً من أجل معالجة وضعية حزب الله,syria,politics,negative,explicit,فنحن ذاهبون إلى الهاوية
@tadabbor. (ولولا أن ثبتناك لقد كدت تركن إليهم شيئا قليلا). حذار من الاغترار بثباتك! أمر قلبك بيد القادر على تثبيته ف… https://t.co/IoM9KzZ7ys,syria,religions,positive,explicit,كن إليهم شيئا قليلا
كتلة المستقبل: كلام نصر الله عن المملكة يؤدي إلى الإضرار بمصالح لبنان واللبنانيين ويوتر علاقاتهم مع أشقائهم العرب ولاسيما مع دول الخليج,lebanon,politics,negative,explicit,الإضرار بمصالح لبنان
"تأخر تشكيل حكومة جديدة لا شي سوى لتكون مناسبة وراضية عنها دول ""خارجية"" مع الأسف البعض لا يريد السلام السائد في البلد #شو_رح_يصير",lebanon,politics,negative,explicit,تشكيل حكومة جديدة
ترامب رئيس امريكا # وبن سلمان حاكم السعودية# والرئيس الكوري# بعد بدن مستر بين يحكم روسيا# ويقبرني الله شو رح ننبسط… https://t.co/npDWjjNTa7,syria,politics,negative,implicit,ويقبرني الله شو رح ننبسط
"الاردنية المهندسة هدى الحسيني تحصد ذهبية جائزة ""ستيفي"" كأفضل موظفة في العالم وذلك عن فئة المؤسسات الحكومية او غي… https://t.co/Eq7zGoBBH9",palestine,politics,positive,explicit,هدى الحسيني
@RealFirdaous كل البلدان العربية و الله يا فردوس ، زرت في الأردن مناطق عظيمة لكن الإهتمام فيها أقل من الصفر !. الله يعين :(,palestine,personal,negative,explicit,الإهتمام فيها أقل من الصفر
من سير المعظمين قدوم سفيان الثوري إلى الحرم فكان يوميا يصلي فيه الفجر ثم يجلس ذاكرا حتى ارتفاع الشمس ثم يطوف7مرات… https://t.co/ccnfYcsOZT,jordan,religions,positive,explicit,سفيان الثوري
@ALJADEEDNEWS واشنطون هيه ام البلاء في كل الدنيا هيه تسخر من كل العرب المقاوم ام العربان فهم اصدقائها بل تضحك عليه… https://t.co/llMJx8gNWO,syria,politics,negative,explicit,واشنطون
ڪبرت وعرفت . انو ماڪو سر يبقى بين #ثنين. و باجر مو #آحلى من اليوم. وعرفت انو اليروح مو دائماً #ينسي. وانو ماڪو واحد يضل #وياك للاخير💔,jordan,personal,negative,explicit,انو ماڪو 
طائرة سعد الحريري الخاصة اللتي اتت من لندن الى السعودية اتت فقط ليتنازل عنها لصالح الدب الداشر محمد بن سلمان كجزء م… https://t.co/pJfVovqG6I,syria,politics,negative,explicit,سعد الحريري
لو فيه كثير عيوب ! تسأل تقول شلون قول الهوى مجنون بحر وصعب ومرساه 🖤🌿,lebanon,personal,negative,explicit,الهوى
نفس الاخطاء تتكرر عالهلال قبل اياب النهائي اصابات لاعبين ، توقف عن المباريات ، ضغوطات سفر وارهاق ومعسكرات وبالاخير نلوم اللاعبين #الهلال,palestine,sports,negative,explicit,عالهلال قبل اياب النهائي
@zena0iq163 والله صار اسبوع شايفة القهر ،اگعد ب١ وب٣ اغني ماما جابت بيبي وماما زمنها گيا بس حتى تنام واغفى وتضربني… https://t.co/Tv6yAYijqL,jordan,personal,negative,explicit,اسبوع شايفة القهر
لبّيه ، يالي ما يساويك مخلوق . يا أللي تغار شفاه من ريق فمه . .. عاشق بديت وجيتك الحين معشوق. كاس الهوى ما يذبحك غي… https://t.co/FpoiraRvVv,syria,personal,positive,explicit,عاشق بديت وجيتك الحين معشوق
تـدري وش اللي يذبحك عقب الفراق . وتـحــس كـنـك فـي حـياتـك تكفنت. الـيـا اتصلت بصـاحبك وانت مشتاق . وتـطـن كـلـه شـوق ويقول ،، من انت,jordan,personal,negative,explicit,اللي يذبحك
@DijlahTv عسى ان يعوا سياسيوا ونواب وكتل سنة السلطة واكرادها - وعدم التهديد - فالينظروا ماحدث في السعودية - واليتعض… https://t.co/hpwisGtmNg,jordan,politics,negative,explicit,السلطة واكرادها
إذا لبنان بيربح وبيتأهل ع المونديال كانو علقو اللبنانية لمين بدن يهدو هل الانتصار . الحمدالله ما ربحنا ما بدنا مشاكل,lebanon,sports,negative,explicit,ما بدنا مشاكل
#كن قنوعاً بما لديك'. فبحثك عن الاجمل يقتل . جمال ما تملك آحيانا 💎 https://t.co/sB0kZ2ocVR,syria,personal,positive,explicit,كن قنوعاً بما لديك
"رئيس تحرير صحيفة عكاظ السعودية على اللبنانيين الوقوف مع المحور العربي...اولاً :شو خصك بلبنان انت؟ ثانيا"": لبنان مش دولة عربية، نحنا لبنانية!",lebanon,politics,negative,explicit,لبنان مش دولة عربية
@qudsn اولا ليواجهوا مرتزقة فتح كعباس ودحلان فهم اصل الخراب والخيانه والعماله في فلسطين ومن ثم يتحدثون عن التطبيع !!!,jordan,politics,negative,explicit,الخراب والخيانه والعماله في فلسطين
ان اللغة التركية تأتي على رأس قائمة اللغات الاجنبية التي تلقى الاهتمام في العراق. عندما التقيت مع الطلبة اخبرتهم بأ… https://t.co/gOUeOwmtI6,jordan,politics,positive,explicit,تلقى الاهتمام في العراق
يعني طالما في إجماع على بغض التفريغ وإذا حد بلش يشتكي بتقلب حفلة شكونة. ليه ما في برنامج يفرّغ عنا يا الله. 😭💔,jordan,personal,negative,explicit,التفريغ
"الصحافي محمد نمر يقول عبر قناة ""الحدث"" إن شعبة المعلومات أكدت أن حياة #الحريري في خطر وأن ثمة معطيات جدية بوجود مخطط لإغتياله #لبنان",lebanon,politics,negative,explicit,حياة #الحريري في خطر
#ليه_استقال_الحريري في بيان الاستقالة لا يوجد كلمة صادقة.لم يسمع.كلام وزير خارجية قطر اي عروبة يا ولد ارهابكم دمر الدول وكنا لكم في المرصد,lebanon,politics,negative,explicit,لا يوجد كلمة صادقة
الفرس كانوا أقرب الناس لكم في زمن الشاه واكيد انت اعرف مني بذلك ومجرد إطلاله بسيطة على كوكل سيتضح كل شيء ؟؟. اما إدع… https://t.co/vQgbHHHdbI,syria,politics,negative,implicit,من الشاه
طالما سيد المقاومة يتمتع بحكمة الانبياء وصبر الاوصياء لن يسمح لشرارة فتنة أن يشعلها احمق من هنا وغبي من هناك لو مهم… https://t.co/5q5g9DXBnG,syria,politics,positive,explicit,يتمتع بحكمة الانبياء
شكرا للدماء التي ضحت من اجلك يا وطني. شكرا لجميع المواكب الحسينية صغيرها وكبيرها.شكرا للقوات الأمنية جميعها . وشكرا ل… https://t.co/EgYmU8GCXl,syria,politics,positive,explicit,المواكب الحسينية
في متل بقول ادفشني وشوف ما اجحشني وانت يا سعد جحش خررررررريها شخ تحتك ولكن اسمع لبنان مقاومة لا تعرف الهوان ولا تعر… https://t.co/xBuXFOR2vi,lebanon,politics,negative,explicit,"['في متل بقول ادفشني وشوف ما اجحشني وانت يا سعد جحش خررررررريها', 'سعد', 'لبنان', 'ل ادفشني وشوف ما اجحشني وان']"
